Description,Category
hertz car rental trip,Travel
ikea store,Shopping
kroger payment,Food
vacation cruise booking,Travel
bus pass ticket,Transport
cat litter,Pets
skincare products appointment,Personal Care
walgreens clinic,Health
eye doctor bill,Health
verizon,Utilities
college textbook fee,Education
disney plus premium,Entertainment
pet grooming supplies,Pets
dog walker supplies,Pets
hertz car rental trip,Travel
starbucks,Food
manicure pedicure appointment,Personal Care
apartment rent monthly,Utilities
school supplies fee,Education
bus pass station,Transport
best buy online,Shopping
exxonmobil ticket,Transport
flea medication store,Pets
water bill,Utilities
dentist office clinic,Health
shampoo and soap routine,Personal Care
pet grooming supplies,Pets
target checkout,Shopping
airbnb booking,Travel
disney plus membership,Entertainment
uber to resort,Travel
whole foods payment,Food
cvs pharmacy,Health
apartment rent monthly,Utilities
walgreens clinic,Health
whole foods order,Food
resort fee trip,Travel
pet grooming store,Pets
notebooks and pens fee,Education
lyft ride,Transport
verizon payment,Utilities
university tuition,Education
macys checkout,Shopping
macys,Shopping
university tuition online,Education
barber shop,Personal Care
shell gas ticket,Transport
cat litter supplies,Pets
shell gas station,Transport
flea medication supplies,Pets
trash collection payment,Utilities
playstation subscription,Entertainment
whole foods payment,Food
starbucks order,Food
vacation cruise trip,Travel
mcdonalds,Food
luggage bag trip,Travel
lyft ticket,Transport
playstation subscription,Entertainment
chewy online supplies,Pets
ikea checkout,Shopping
lyft ticket,Transport
delta airlines ride,Transport
att mobile monthly,Utilities
barber shop routine,Personal Care
playstation subscription,Entertainment
ebay store,Shopping
delta airlines,Transport
walmart checkout,Shopping
manicure pedicure store,Personal Care
veterinary clinic,Pets
water bill payment,Utilities
local bakery payment,Food
home depot checkout,Shopping
kroger purchase,Food
khan academy donation store,Education
amtrak ride,Transport
delta airlines ride,Transport
school supplies,Education
concert ticket premium,Entertainment
sewer bill fee,Utilities
college textbook,Education
uber ticket,Transport
barber shop store,Personal Care
local bakery payment,Food
taco bell order,Food
barber shop store,Personal Care
att mobile,Utilities
sephora cosmetics store,Personal Care
walgreens bill,Health
bus pass ride,Transport
airbnb booking reservation,Travel
trash collection monthly,Utilities
shampoo and soap appointment,Personal Care
walmart online,Shopping
cinema membership,Entertainment
cat litter store,Pets
college textbook fee,Education
college textbook online,Education
pet grooming store,Pets
steam games premium,Entertainment
chewy online,Pets
playstation subscription,Entertainment
skincare products,Personal Care
ulta beauty store,Personal Care
manicure pedicure routine,Personal Care
coursera subscription store,Education
manicure pedicure appointment,Personal Care
first aid kit bill,Health
electric bill payment,Utilities
skincare products appointment,Personal Care
pet grooming store,Pets
ulta beauty appointment,Personal Care
verizon payment,Utilities
marriott hotel reservation,Travel
udemy course fee,Education
airbnb booking booking,Travel
walmart,Shopping
amazon online,Shopping
coursera subscription online,Education
barber shop store,Personal Care
first aid kit clinic,Health
luggage bag booking,Travel
whole foods order,Food
cvs pharmacy clinic,Health
pizza hut,Food
lyft ride,Transport
expedia flight,Travel
advil medicine health,Health
notebooks and pens online,Education
khan academy donation,Education
concert ticket subscription,Entertainment
petsmart visit,Pets
walmart,Shopping
hulu,Entertainment
exxonmobil ride,Transport
prescription refill health,Health
walmart checkout,Shopping
water bill fee,Utilities
chewy online,Pets
amtrak ticket,Transport
eye doctor health,Health
resort fee,Travel
hulu premium,Entertainment
att mobile,Utilities
internet broadband monthly,Utilities
first aid kit clinic,Health
cvs pharmacy,Health
shell gas,Transport
flea medication visit,Pets
internet broadband monthly,Utilities
barber shop routine,Personal Care
pet grooming visit,Pets
first aid kit clinic,Health
whole foods,Food
advil medicine clinic,Health
shell gas station,Transport
public transit ride,Transport
luggage bag,Travel
